INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.12628798186779022
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.12672050297260284
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.1270277500152588
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.12884150445461273
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.1313794106245041
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.13197918236255646
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.13212046027183533
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.13866113126277924
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.13598217070102692
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.13608600199222565
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.13183051347732544
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.1303349733352661
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.1282777190208435
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.1304999589920044
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.12881235778331757
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.130658358335495
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.1287989318370819
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.12705262005329132
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.12516963481903076
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.12790359556674957
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.12249048799276352
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.12272820621728897
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.12170109897851944
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.12274714559316635
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.11649422347545624
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.11325441300868988
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.11548599600791931
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.11603282392024994
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.1190720647573471
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.12050609290599823
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.11785950511693954
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.1206178218126297
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.11906605958938599
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.1185779720544815
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.11767730116844177
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.117384172976017
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.11676202714443207
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.12235172837972641
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.13151408731937408
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.12693341076374054
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.12327530235052109
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.11938251554965973
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.12113508582115173
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.11405104398727417
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.10530926287174225
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.10046082735061646
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.10031179338693619
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.10020894557237625
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.09737814217805862
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.09521546959877014
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.09591247141361237
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.09333422780036926
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.09441931545734406
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.09735672175884247
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.09506198018789291
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.09326779097318649
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.0984225943684578
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.12721389532089233
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.12632526457309723
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.12529481947422028
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.12939591705799103
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.12318824231624603
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.116559699177742
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.11226434260606766
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.10810661315917969
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.10600595921278
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.09849795699119568
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.09842289239168167
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.09588170051574707
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.09081768989562988
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.08713118731975555
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.08324658125638962
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.07521631568670273
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.07357549667358398
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.0770336240530014
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.07563278079032898
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.08075889945030212
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.12360895425081253
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.11693749576807022
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.10825923085212708
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.09872341901063919
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.09500051289796829
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.08834146708250046
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.08614912629127502
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.08608579635620117
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.08309213817119598
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.08062741905450821
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.0816875696182251
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.08081939816474915
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.07779509574174881
